#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1509 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:62 out:60 type:P dur:2 cpbdur:2 q:30.53 aq:24.40 tex:97746 mv:17625 misc:2453 imb:650 pmb:1223 smb:1727 d:- ref:0 ;
in:60 out:61 type:B dur:2 cpbdur:2 q:30.25 aq:26.54 tex:31072 mv:13621 misc:2371 imb:121 pmb:991 smb:2488 d:- ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:30.39 aq:27.55 tex:23004 mv:10703 misc:2357 imb:65 pmb:882 smb:2653 d:- ref:0 ;
in:65 out:63 type:P dur:2 cpbdur:2 q:30.89 aq:24.78 tex:99252 mv:22539 misc:2513 imb:1142 pmb:1428 smb:1030 d:- ref:0 ;
in:63 out:64 type:B dur:2 cpbdur:2 q:30.65 aq:26.25 tex:27463 mv:13852 misc:2909 imb:125 pmb:1140 smb:2335 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:30.77 aq:27.16 tex:19401 mv:11940 misc:2731 imb:98 pmb:994 smb:2508 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:31.06 aq:24.25 tex:121942 mv:26202 misc:1776 imb:1718 pmb:1492 smb:390 d:- ref:0 w:0,1,1 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:30.98 aq:26.11 tex:33258 mv:19477 misc:2969 imb:231 pmb:1343 smb:2026 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:30.94 aq:27.17 tex:20274 mv:12302 misc:2656 imb:108 pmb:967 smb:2525 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:31.02 aq:27.61 tex:18509 mv:11217 misc:2746 imb:101 pmb:944 smb:2555 d:- ref:0 ;
in:72 out:70 type:P dur:2 cpbdur:2 q:31.45 aq:24.38 tex:99584 mv:21813 misc:2723 imb:871 pmb:1593 smb:1136 d:- ref:0 ;
